origin,named,timePublished,orgName,ip,hostName,authority,datePublished,currency,exitAccept,callingCode,longitude,asName,nicHdl,guard,contactInfo,routerName,netName,badExit,mntRef,fingerPrint,organisation,dirPort,orPort,techc,fast,signingKey,platform,valid,remarks,sourceName,capital,latitude,stable,nameIndividual,familyMembers,descriptorPublishDate,phone,status,platformVersion,exitTrueFalse,description,upTimeSeconds,abuseC,route,consensusBandwidth,exitReject,faxNo,onionKey,running,exitAddressDate,inetNum,hibernating,region,postalAddress,exitNode,orgType,firstSeen,lastStatusDate,orAddress,adminc,siteOperator,language,mntby,v2Dir,country,descriptorPublishTime,bandwidth,emailIndividual,person,asNumber,bandwidthUnits,memberOf,exitAddressTime,badDirectory,lastStatusTime
,,,,93.128.21.125,,,,EUR ,,49 ,7.05 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.3167 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,188.192.13.73,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,84.156.47.76,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,134.119.3.2,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,98.234.246.139,,,,"USD,USN,USS ",,1 ,-121.8387 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,38.0051 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
AS5607,,"T13:45:27Z,T09:21:33Z,T09:22:38Z",,2.123.185.238,,,"2010-08-26,2006-07-07,2010-04-23",GBP ,,44 ,-1.9341 ,,BBH-RIPE,,,,BSKYB-BROADBAND,,,,,,,"BBH-RIPE,MIVS1-RIPE,JS2116-RIPE",,,,,Please send abuse notifications to abuse@sky.com,tordata8b,London ,52.4768 ,,,,,+44 20 7032 7000,ASSIGNED PA,,,"Sky Broadband,Sky Broadband",,,2.120.0.0/13,,,+44 20 7900 7812,,,,2.123.128.0 - 2.123.191.255,,"Europe, Northern Europe ","Sky Network Services,1 Brick Lane,London,E1 6PU,UK",,,,"2010-08-26,2015-06-02,2015-08-17",,"BBH-RIPE,IAND-RIPE,AF9652-RIPE,PB15545-RIPE",,English ,"BSKYB-BROADBAND-MNT,BSKYB-BROADBAND-MNT,BSKYB-BROADBAND-MNT",,United Kingdom (United Kingdom),,,,,,,,,,"T13:45:27Z,T13:01:05Z,T16:30:13Z"
,,,,87.177.146.242,,,,EUR ,,49 ,8.4878 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.1703 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
AS15557,,"T15:49:29Z,T09:15:54Z,T14:34:14Z,T15:18:50Z",,77.192.211.34,,,"2015-12-08,2003-10-23,2001-12-20,2007-07-10",EUR ,,33 ,2.35 ,,"LD699-RIPE,LDC76-RIPE",,,,N9UF-DYN-DSL,,,,,,,"LDC76-RIPE,RB14609-RIPE,DG1056-RIPE",,,,,"***********************************,* Abuse e-mail: abuse@gaoland.net *,***********************************",tordata8b,Paris ,48.86 ,,,,,"+33 1 70 18 52 00,+33 1 70 18 52 00",SUB-ALLOCATED PA,,,"Dynamic pools,LDCOM-NET",,,77.192.0.0/12,,,,,,,77.192.0.0 - 77.199.255.255,,"Europe, Western Europe ","Campus SFR,12 rue Jean-Philippe Rameau,CS 80001,93634 La-Plaine-Saint-Denis Cedex,France,SFR,CAMPUS SFR,12 rue Jean-Philippe Rameau,CS 80001,93634 La Plaine Saint-Denis Cedex,France",,,,"2015-12-08,2015-05-26,2015-05-26,2007-07-10",,"LD699-RIPE,LDC76-RIPE,LD699-RIPE,LM5867-RIPE",,French ,"LDCOM-MNT,LDCOM-MNT,LDCOM-MNT,LDCOM-MNT",,France (France),,,,,,,,,,"T15:49:29Z,T11:32:33Z,T11:34:27Z,T15:18:50Z"
,,,,45.55.62.161,,,,"USD,USN,USS ",,1 ,-73.9865 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,40.749 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,188.226.221.243,,,,EUR ,,31 ,4.8897 ,,,,,,,,,,,,,,,,,,,tordata8b,Amsterdam ,52.374 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,Dutch ,,,Netherlands (Nederland),,,,,,,,,,
