origin,named,timePublished,orgName,ip,hostName,authority,datePublished,currency,exitAccept,callingCode,longitude,asName,nicHdl,guard,contactInfo,routerName,netName,badExit,mntRef,fingerPrint,organisation,dirPort,orPort,techc,fast,signingKey,platform,valid,remarks,sourceName,capital,latitude,stable,nameIndividual,familyMembers,descriptorPublishDate,phone,status,platformVersion,exitTrueFalse,description,upTimeSeconds,abuseC,route,consensusBandwidth,exitReject,faxNo,onionKey,running,exitAddressDate,inetNum,hibernating,region,postalAddress,exitNode,orgType,firstSeen,lastStatusDate,orAddress,adminc,siteOperator,language,mntby,v2Dir,country,descriptorPublishTime,bandwidth,emailIndividual,person,asNumber,bandwidthUnits,memberOf,exitAddressTime,badDirectory,lastStatusTime
,,,,45.55.62.161,45.55.62.161,,,"USD,USN,USS ",,1 ,-73.9865 ,"DIGITALOCEAN-ASN-NY3 - Digital Ocean, Inc.,US <",,,,zanovar,,,,,,,9001,,,,,,,tordata5,Washington D.C. ,40.749 ,,,,,,,,,,1209600,,,36,,,,,,,,"Americas, Northern America ",,,,2015-12-31,,,,,English ,,,United States (United States),,0 KBs,,,393406,,,,,
AS8870,,"T12:46:46Z,T12:46:46Z,T12:46:46Z,T15:33:51Z",Campus City Ltd.,93.171.246.17,93.171.246.17,,"2015-12-10,2015-12-10,2015-12-10,2012-10-25",UAH ,,380 ,30.5167 ,"OVDC-AS Overseas Technologies LLC,UA <",CCLN1-RIPE,,,zypperman,CAMPUS-CITY-NET,,MNT-ALFATELECOM,,",:            ORG-CCL49-RIPE,anisation,:   ORG-CCL49-RIPE,,-name:       Campus City Ltd.,,-type:       OTHER",9030,1443,"CCLN1-RIPE,CCLN1-RIPE,TS6982-RIPE",,,,,,tordata5,Kiev ,50.4333 ,,,,,+380687052424,ASSIGNED PA,,,"Campus City Ltd.,tom_nets",172800,CCLN1-RIPE,93.171.246.0/24,45,,,,,,93.171.246.0 - 93.171.247.255,,"Europe, Eastern Europe ","16 Komsomolska st., apt. 22, Boguslav, Kiev region, Ukraine,16 Komsomolska st., apt. 22, Boguslav, Kiev region, Ukraine",,OTHER,2015-11-24,"2015-12-10,2015-12-10,2015-12-10,2012-10-25",,"CCLN1-RIPE,CCLN1-RIPE,TS6982-RIPE",,Ukrainian ,"MNT-ALFATELECOM,MNT-ALFATELECOM,MNT-ALFATELECOM,BINET-MNT",,Ukraine (???????),,0 KBs,,,8870,,AS8870:RS-TOM,,,"T12:46:46Z,T12:46:46Z,T12:46:46Z,T15:33:51Z"
,,,,134.119.3.2,j72505.servers.jiffybox.net,,,EUR ,,49 ,9 ,"DOMAINFACTORY domainfactory GmbH,DE <",,,,Zwiebel2,,,,,,,9001,,,,,,,tordata5,Berlin ,51 ,,,,,,,,,,14342400,,,21,,,,,,,,"Europe, Western Europe ",,,,2013-11-27,,,,,German ,,,Germany (Deutschland),,0 KBs,,,34011,,,,,
,,,,77.192.211.34,34.211.192.77.rev.sfr.net,,,EUR ,,33 ,2.35 ,"LDCOMNET Societe Francaise du Radiotelephone S.A,FR <",,,,zz1949,,,,,,9030,443,,,,,,,tordata5,Paris ,48.86 ,,,,,,,,,,39600,,,10,,,,,,,,"Europe, Western Europe ",,,,2015-07-30,,,,,French ,,,France (France),,0 KBs,,,15557,,,,,
AS17974,,,,222.124.127.151,151.subnet222-124-127.speedy.telkom.net.id,,,IDR ,,62 ,107.4847 ,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia,ID <","AK289-AP,DS472-AP",,,Zer0,TLKM_D2_BB_SPEEDY_JKT,,,,,,9001,DS472-AP,,,,,"------------------------------------------------------------------,Send ABUSE and SPAM reports with plain ASCII text only to,addy@telkom.co.id and dudy.s@telkom.co.id,cc to abuse@telkom.net.id,The netname enclosed in square bracket is included in the subject.,------------------------------------------------------------------",tordata5,Jakarta ,-6.8425 ,,,,,"+62-21-70782339,+62 21 5211936",ASSIGNED NON-PORTABLE,,,"PT Telkom Divisi Regional II,Telecommunications/Communications,Gedung Grha Citra Caraka,Jl Jend Gatot Subroto Kav 52,JAKARTA,PT. TELKOM INDONESIA,JAKARTA",39600,,222.124.124.0/22,12,,"+62-21-5212002,+62 21 5212022",,,,222.124.64.0 - 222.124.127.255,,"Asia, South-Eastern Asia ","PT Telkom DIVRE II,Gedung Grha Citra Caraka,Jl Jend Gatot Subroto Kav 52,Jakarta,PT Telkom DIVRE II,Gedung Grha Citra Caraka,Jl Jend Gatot Subroto Kav 52,JAKARTA",,,2015-05-30,,,AK289-AP,,Indonesian ,"MAINT-TELKOMNET,MAINT-TELKOMNET,MAINT-TELKOMNET,MAINT-TELKOMNET",,Indonesia (Indonesia),,0 KBs,,"Addy Kurnia Komara,Dudy Solehuddin",17974,,,,,
,,,,2.123.185.238,027bb9ee.bb.sky.com,,,GBP ,,44 ,-1.9341 ,"BSKYB-BROADBAND-AS Sky UK Limited,GB <",,,,Zim106Dr,,,,,,,9001,,,,,,,tordata5,London ,52.4768 ,,,,,,,,,,432000,,,12,,,,,,,,"Europe, Northern Europe ",,,,2015-09-08,,,,,English ,,,United Kingdom (United Kingdom),,0 KBs,,,5607,,,,,
,,,,91.22.116.61,p5B16743D.dip0.t-ipconnect.de,,,EUR ,,49 ,11.85 ,"DTAG Deutsche Telekom AG,DE <",,,,YavinIV,,,,,,,9001,,,,,,,tordata5,Berlin ,47.9 ,,,,,,,,,,28800,,,16,,,,,,,,"Europe, Western Europe ",,,,2014-08-01,,,,,German ,,,Germany (Deutschland),,0 KBs,,,3320,,,,,
AS3320,,"T08:58:21Z,T11:47:04Z,T10:22:59Z,T10:31:11Z,T11:22:17Z",Deutsche Telekom AG,87.177.147.50,p57B19332.dip0.t-ipconnect.de,,"2006-04-03,2014-06-17,2003-01-29,2003-01-29,2006-04-11",EUR ,,49 ,9 ,"DTAG Deutsche Telekom AG,DE <","DTIP,DTST",,,zibelenet,DTAG-DIAL21,,DTAG-NIC,,",:            ORG-DTAG1-RIPE,anisation,:   ORG-DTAG1-RIPE,,-name:       Deutsche Telekom AG,,-type:       OTHER",9030,9001,DTST,,,,,"abuse contact in case of Spam,",tordata5,Berlin ,51 ,,,,,"+49 180 2 33 1000,+49 180 2 33 1000",ASSIGNED PA,,,"Deutsche Telekom AG,Deutsche Telekom AG, Internet service provider",46800,DTAG4-RIPE,87.128.0.0/10,10,,"+49 6151 6809399,+49 6151 6809399",,,,87.160.0.0 - 87.186.159.255,,"Europe, Western Europe ","Group Information Security, SDA/Abuse,T-Online-Allee 1,DE 64295 Darmstadt,Deutsche Telekom AG,Darmstadt, Germany,Deutsche Telekom AG,Darmstadt, Germany",,OTHER,2016-01-10,"2014-06-18,2014-06-17,2015-11-27,2015-11-27,2006-04-11",,DTIP,,German ,"DTAG-NIC,DTAG-NIC,DTAG-NIC,DTAG-NIC,DTAG-RR",,Germany (Deutschland),,0 KBs,,"DTAG Global IP-Addressing,Security Team",3320,,AS3320:RS-PA-TELEKOM,,,"T06:23:12Z,T11:47:04Z,T08:02:45Z,T08:03:38Z,T11:22:17Z"
,,,,79.245.47.142,p4FF52F8E.dip0.t-ipconnect.de,,,EUR ,,49 ,9 ,"DTAG Deutsche Telekom AG,DE <",,,,zambaloelek,,,,,,,9001,,,,,,,tordata5,Berlin ,51 ,,,,,,,,,,1036800,,,16,,,,,,,,"Europe, Western Europe ",,,,2015-06-03,,,,,German ,,,Germany (Deutschland),,0 KBs,,,3320,,,,,
,,,,91.188.125.128,91.188.125.128,,,PLN ,,48 ,21.0167 ,"LIVENET-PL Livenet Sp. z o.o.,PL <",,,,yzq,,,,,,,443,,,,,,,tordata5,Warsaw ,52.2333 ,,,,,,,,,,2678400,,,23,,,,,,,,"Europe, Eastern Europe ",,,,2014-07-04,,[2a02:2430:3:2500::5fa3:1ef5]:443,,,Polish ,,,Poland (Polska),,0 KBs,,,59491,,,,,
,,,,95.73.168.67,95.73.168.67,,,RUB ,,7 ,37.6156 ,"CTCNET-AS PJSC Rostelecom,RU <",,,,yetanotherrelay2,,,,,,9030,9031,,,,,,,tordata5,Moscow ,55.7522 ,,,,,,,,,,14400,,,11,,,,,,,,"Europe, Eastern Europe ",,,,2016-01-22,,,,,Russian ,,,Russia (??????),,0 KBs,,,25515,,,,,
,,,,24.212.135.46,24-212-135-46.cable.teksavvy.com,,,CAD ,,1 ,-79.5231 ,"TEKSAVVY - TekSavvy Solutions, Inc.,CA <",,,,yourpizza,,,,,,,443,,,,,,,tordata5,Ottawa ,43.6256 ,,,,,,,,,,4233600,,,19,,,,,,,,"Americas, Northern America ",,,,2015-12-01,,,,,"English,French ",,,Canada (Canada),,0 KBs,,,5645,,,,,
,,,,188.107.38.248,dslb-188-107-038-248.188.107.pools.vodafone-ip.de,,,EUR ,,49 ,8.7 ,"VODANET Vodafone GmbH,DE <",,,,YeastLabs,,,,,,9030,9001,,,,,,,tordata5,Berlin ,50.65 ,,,,,,,,,,259200,,,13,,,,,,,,"Europe, Western Europe ",,,,2015-05-22,,,,,German ,,,Germany (Deutschland),,0 KBs,,,3209,,,,,
,,,,159.203.38.250,bugg3r.me,,,CAD ,,1 ,-79.4205 ,"DIGITALOCEAN-ASN-CA1 - Digital Ocean, Inc.,US <",,,,YouPornTheNSA,,,,,,,9001,,,,,,,tordata5,Ottawa ,43.6683 ,,,,,,,,,,10800,,,36,,,,,,,,"Americas, Northern America ",,,,2016-01-19,,,,,"English,French ",,,Canada (Canada),,0 KBs,,,394362,,,,,
,,,,100.36.117.202,pool-100-36-117-202.washdc.fios.verizon.net,,,"USD,USN,USS ",,1 ,-77.2866 ,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US <",,,,yattap,,,,,",/VRIS",,8443,,,,,,,tordata5,Washington D.C. ,38.7851 ,,,,,,,,,,259200,,,26,,,,,,,,"Americas, Northern America ",,,,2016-01-18,,,,,English ,,,United States (United States),,0 KBs,,,701,,,,,
,,,,104.162.56.150,cpe-104-162-56-150.nyc.res.rr.com,,,"USD,USN,USS ",,1 ,-73.8424 ,"SCRR-12271 - Time Warner Cable Internet LLC,US <",,,,yakkorelay,,,,,,,9001,,,,,,,tordata5,Washington D.C. ,40.7229 ,,,,,,,,,,1209600,,,19,,,,,,,,"Americas, Northern America ",,,,2014-07-06,,,,,English ,,,United States (United States),,0 KBs,,,12271,,,,,
,,,,109.193.63.9,HSI-KBW-109-193-063-009.hsi7.kabel-badenwuerttemberg.de,,,EUR ,,49 ,10.3553 ,"KABELBW-ASN Kabel BW GmbH,DE <",,,,XXXYYZZZ,,,,,,9030,443,,,,,,,tordata5,Berlin ,48.8578 ,,,,,,,,,,10800,,,21,,,,,,,,"Europe, Western Europe ",,,,2014-04-18,,,,,German ,,,Germany (Deutschland),,0 KBs,,,29562,,,,,
